date,camelsbr_42210000,camelsbr_43200000,GRDC_3651408
1950-01-01,,,
1950-01-02,,,
1950-01-03,,,
1950-01-04,,,
1950-01-05,,,
1950-01-06,,,
1950-01-07,,,
1950-01-08,,,
1950-01-09,,,
1950-01-10,,,
1950-01-11,,,
1950-01-12,,,
1950-01-13,,,
1950-01-14,,,
1950-01-15,,,
1950-01-16,,,
1950-01-17,,,
1950-01-18,,,
1950-01-19,,,
1950-01-20,,,
1950-01-21,,,
1950-01-22,,,
1950-01-23,,,
1950-01-24,,,
1950-01-25,,,
1950-01-26,,,
1950-01-27,,,
1950-01-28,,,
1950-01-29,,,
1950-01-30,,,
1950-01-31,,,
1950-02-01,,,
1950-02-02,,,
1950-02-03,,,
1950-02-04,,,
1950-02-05,,,
1950-02-06,,,
1950-02-07,,,
1950-02-08,,,
1950-02-09,,,
1950-02-10,,,
1950-02-11,,,
1950-02-12,,,
1950-02-13,,,
1950-02-14,,,
1950-02-15,,,
1950-02-16,,,
1950-02-17,,,
1950-02-18,,,
1950-02-19,,,
1950-02-20,,,
1950-02-21,,,
1950-02-22,,,
1950-02-23,,,
1950-02-24,,,
1950-02-25,,,
1950-02-26,,,
1950-02-27,,,
1950-02-28,,,
1950-03-01,,,
1950-03-02,,,
1950-03-03,,,
1950-03-04,,,
1950-03-05,,,
1950-03-06,,,
1950-03-07,,,
1950-03-08,,,
1950-03-09,,,
1950-03-10,,,
1950-03-11,,,
1950-03-12,,,
1950-03-13,,,
1950-03-14,,,
1950-03-15,,,
1950-03-16,,,
1950-03-17,,,
1950-03-18,,,
1950-03-19,,,
1950-03-20,,,
1950-03-21,,,
1950-03-22,,,
1950-03-23,,,
1950-03-24,,,
1950-03-25,,,
1950-03-26,,,
1950-03-27,,,
1950-03-28,,,
1950-03-29,,,
1950-03-30,,,
1950-03-31,,,
1950-04-01,,,
1950-04-02,,,
1950-04-03,,,
1950-04-04,,,
1950-04-05,,,
1950-04-06,,,
1950-04-07,,,
1950-04-08,,,
1950-04-09,,,
1950-04-10,,,
1950-04-11,,,
1950-04-12,,,
1950-04-13,,,
1950-04-14,,,
1950-04-15,,,
1950-04-16,,,
1950-04-17,,,
1950-04-18,,,
1950-04-19,,,
1950-04-20,,,
1950-04-21,,,
1950-04-22,,,
1950-04-23,,,
1950-04-24,,,
1950-04-25,,,
1950-04-26,,,
1950-04-27,,,
1950-04-28,,,
1950-04-29,,,
