station_id,longitude,latitude,river_name,catchment_name,catchment_area_km2,series_type
camelsaus_A0020101,139.3667,-25.90875,Diamantina River,Eyre Lake,119303.484,obs
camelsbr_17090000,-54.8728,-1.5031,Curua,Amazonas,19796.885,obs
camelsbr_23600000,-47.3919,-6.2886,Tocantins,Tocantins,290671.47,obs
camelsbr_33281000,-44.605,-4.57,Mearim,Mearim,24173.393,obs
camelsbr_33380000,-45.2178,-3.7697,Grajau,Mearim,20412.238,obs
camelsbr_34070000,-44.8267,-7.3808,Parnaiba,Parnaiba,35420.41,obs
camelsbr_34170000,-44.8139,-7.0819,Das Balsas,Parnaiba,24855.604,obs
camelsbr_34311000,-43.0278,-6.7614,Parnaiba,Parnaiba,140793.7,obs
camelsbr_34690000,-42.8111,-5.135,Parnaiba,Parnaiba,238239.62,obs
camelsbr_34770000,-42.2136,-5.6664,Poti,Parnaiba,43553.2,obs
camelsbr_40100000,-45.2858,-19.2786,Sao Francisco,Sao Francisco,13869.804,obs
camelsbr_41135000,-44.9431,-17.3692,Sao Francisco,Sao Francisco,62269.19,obs
camelsbr_42210000,-45.0808,-16.6572,Sao Francisco,Sao Francisco,106920.55,obs
camelsbr_42395000,-46.4728,-17.255,Paracatu,Sao Francisco,12937.129,obs
camelsbr_42690001,-46.0136,-17.0303,Paracatu,Sao Francisco,30331.475,obs
camelsbr_43200000,-45.07,-16.3725,Sao Francisco,Sao Francisco,154118.81,obs
camelsbr_45298000,-43.7633,-14.3044,Sao Francisco,Sao Francisco,254430.6,obs
camelsbr_51350000,-39.5222,-12.5856,Paraguacu,Paraguacu,38051.61,obs
camelsbr_56850000,-41.9508,-18.8831,Doce,Doce,40674.66,obs
camelsbr_56920000,-41.6417,-18.9711,Doce,Doce,55388.41,obs
camelsbr_60680000,-49.6108,-18.3389,Meia Ponte,Parana,11629.115,obs
camelsbr_60772000,-50.2469,-17.9808,Dos Bois,Parana,17318.78,obs
camelsbr_60798000,-50.3325,-17.9678,Verde _ Verdao,Parana,12770.967,obs
camelsbr_61912000,-48.0403,-21.5019,Mogi Guacu,Parana,13933.006,obs
camelsbr_63350100,-52.9017,-20.445,Verde,Parana,14462.677,obs
camelsbr_63970000,-52.8675,-21.6633,Pardo,Parana,31023.607,obs
camelsch_2011,7.3579,46.21909,Rhone,Rhone,3363.355,obs
camelsch_2029,7.283394,47.122066,Aare,Rhine,8226.62,obs
camelsch_2030,7.611825,46.764569,Aare,Rhine,2452.754,obs
camelsch_2099,8.525453,47.390585,Limmat,Rhine,2167.9805,obs
camelsch_2104,9.088424,47.131563,Linth,Rhine,1058.6274,obs
camelsch_2110,8.396131,47.222351,Reuss,Rhine,2894.4792,obs
camelsch_2152,8.298489,47.054009,Reuss,Rhine,2247.9272,obs
camelsch_2170,6.159361,46.180286,Arve,Rhone,1970.3662,obs
camelsch_2215,7.234397,46.908623,Saane,Rhine,1856.8398,obs
camelsch_2243,8.309418,47.475706,Limmat,Rhine,2387.088,obs
camelsch_2387,9.447353,46.715082,Hinterrhein,Rhine,1572.6849,obs
camelscl_10311001,-72.966667,-40.316667,Bueno,Bueno,4151.2695,obs
camelsdk_210084,9.67,56.24,GUDENA,Gudena,1279.4559,obs
camelsdk_250082,8.72,55.95,SKJERN A,Skern,1048.1423,obs
camelsdk_380024,8.88,55.32,RIBE A,Ribe,672.9701,obs
camelsdk_570058,11.68,55.3,SUSA,Susa,752.63116,obs
camelsgb_11001,-2.18759,57.21832,Don,Don,1263.6799,obs
camelsgb_12001,-2.60357,57.05013,Dee,Dee,1374.035,obs
camelsgb_15006,-3.38696,56.51441,Tay,Tay,4566.1753,obs
camelsgb_21006,-2.8,55.59,TWEED -SCOTLAND-,Tweed,1499.4462,obs
camelsgb_21009,-2.16337,55.72269,Tweed,Tweed,4381.2847,obs
camelsgb_21022,-2.19,55.788,WHITEADDER WATER,Tweed,500.23904,obs
camelsgb_22001,-1.631,55.333,COQUET,Northumbria,576.0216,obs
camelsgb_24001,-1.59,54.733,WEAR,Wear,658.7222,obs
camelsgb_27002,-1.36,53.92,WHARFE,Ouse,756.3298,obs
camelsgb_27007,-1.46,54.1,URE,Ouse,909.2894,obs
camelsgb_27009,-1.135153,53.991515,Ouse,Ouse,3288.827,obs
camelsgb_28009,-1.07772,52.952707,Trent,Trent,7441.5923,obs
camelsgb_28015,-0.962,53.398,IDLE,Trent,526.3461,obs
camelsgb_28018,-1.651,52.856,DOVE -TRIB. TRENT-,Trent,881.11804,obs
camelsgb_33022,-0.315,52.144,IVEL,Great Ouse,537.7729,obs
camelsgb_33034,0.72,52.43,LITTLE OUSE,Great Ouse,704.82715,obs
camelsgb_36006,0.94,51.97,STOUR -E. ENGLAND-,R. Stour,569.1151,obs
camelsgb_39002,-1.18,51.64,THAMES,"Thames, above Lea",3469.2603,obs
camelsgb_39016,-1.066,51.432,KENNET,"Thames, above Lea",1034.2664,obs
camelsgb_39021,-1.3,51.861,CHERWELL,"Thames, above Lea",553.69385,obs
camelsgb_40003,0.448,51.25,MEDWAY,Medway,1256.8231,obs
camelsgb_4001,-4.53997,57.55658,Conon,Conon,957.57965,obs
camelsgb_42004,-1.496,50.968,TEST,Test,1031.6497,obs
camelsgb_45001,-3.51,50.8,EXE,Exe,606.2239,obs
camelsgb_47001,-4.221,50.53,TAMAR,R. Tamar,917.0288,obs
camelsgb_50001,-3.98,51,TAW,Taw,830.24225,obs
camelsgb_50002,-4.135,50.946,TORRIDGE,R. Torridge,661.99365,obs
camelsgb_54001,-2.322438,52.383563,Severn,Severn,4315.2764,obs
camelsgb_54002,-1.942876,52.092165,Avon,Severn,2200.8992,obs
camelsgb_54008,-2.591539,52.313207,Teme,Severn,1120.9216,obs
camelsgb_56001,-2.949,51.745,USK,Usk,910.2359,obs
camelsgb_60010,-4.2,51.863,Tywi,R. Towy,1088.5425,obs
camelsgb_62001,-4.56,52.04,TEIFI,Teifi,894.2814,obs
camelsgb_67015,-2.96,52.96,DEE -WALES-,R. Dee,1005.1383,obs
camelsgb_7002,-3.64408,57.60477,Findhorn,Findhor,778.1582,obs
camelsgb_71001,-2.624715,53.76911,Ribble,Ribble,1140.6337,obs
camelsgb_76007,-2.952852,54.90486,Eden,Eden,2267.4387,obs
camelsgb_78003,-3.27,55.02,Annan,R. Annan,921.2716,obs
camelsgb_8006,-3.14039,57.55104,Spey,Spey,2839.4688,obs
camelsgb_85001,-4.575,55.989,LEVEN -SCOTLAND-,Leven,782.4379,obs
camelsgb_9002,-2.49353,57.53767,Deveron,Deveron,957.2298,obs
GRDC_1159290,20.72243,-28.77466,Orange,Orange,346731.97,obs
GRDC_1159301,22.7458,-29.6517,Orange,Orange,320560.2,obs
GRDC_1159302,23.6958,-29.1619,Orange,Orange,97005.54,obs
GRDC_1159304,23.57511,-29.18285,Orange,Orange,282905.12,obs
GRDC_1159450,24.0729,-28.71149,Vaal,Orange,152687.4,obs
GRDC_1159535,26.46389,-27.38972,Vaal,Orange,80192.164,obs
GRDC_1159545,26.69808,-27.01011,Vaal,Orange,63625.035,obs
GRDC_1159550,27.20967,-26.97056,Vaal,Orange,49211.625,obs
GRDC_1159555,27.59197,-26.73828,Vaal,Orange,47286.63,obs
GRDC_1159655,28.50975,-30.06186,Orange,Orange,10651.335,obs
GRDC_1159675,27.06556,-29.61667,Caledon,Orange,12915.117,obs
GRDC_1159810,28.4956,-27.2983,Wilge,Orange,15446.842,obs
GRDC_1159880,28.76528,-27.00231,Vaal,Orange,15543.669,obs
GRDC_1160235,18.68639,-31.8625,Doring,Doring,24011.543,obs
GRDC_1160777,29.26508,-31.3955,Mzimvubu,Coastal,19314.674,obs
GRDC_1160883,30.44222,-28.75003,Tugela,Uthukela,12990.937,obs
GRDC_1196800,30.82299,-24.18473,Elefantes _ Olifantsrivier,Limpopo,46727.164,obs
GRDC_1196850,31.24288,-24.06628,Elefantes _ Olifantsrivier,Limpopo,50019.88,obs
GRDC_1197090,31.98244,-25.43661,Komati,Incomati,21720.19,obs
GRDC_1255100,14.2167,-17.4,Cunene_ Kunene,Cunene,85521.03,obs
GRDC_1257100,19.7667,-17.9,Okavango _ Cubango,Okavango,103880.05,obs
GRDC_1291100,24.3,-17.4833,Zambezi,Zambezi,336136.06,obs
GRDC_1320100,-11.143,7.328,Mano,Mano,5721.017,obs
GRDC_1320150,-10.078,8.278,Kaiha,Mano,664.50476,obs
GRDC_1321880,-10.88,7.067,Lofa,Loffa,8076.7993,obs
GRDC_1322880,-10.36175,6.90211,Saint Paul,Saint Paul River,18398.885,obs
GRDC_1323550,-9.526,6.466,Saint John,Saint John River,11078.97,obs
GRDC_1323580,-9.87,6.084,Saint John,Saint John River,15861.0625,obs
GRDC_1324580,-9.319,5.617,Cestos,Cestos -Also Nuon,11677.098,obs
GRDC_3264500,-55.88,-27.37,Parana Rio,Parana,936576.44,obs
GRDC_3268100,-64.37,-22.72,Bermejo Rio,Parana,4888.439,obs
GRDC_3269300,-57.68,-29.83,Mirinay Rio,Uruguay,10172.292,obs
GRDC_3274120,-65.6,-27.1,Las Sosas Rio De,Mar Chiquita,570.1245,obs
GRDC_3275100,-68.63,-31.52,San Juan Rio,Colorado,26716.572,obs
GRDC_3275140,-69.68,-31.88,Patos Rio De Los,Colorado,8460.836,obs
GRDC_3275200,-69.77,-32.85,Tupungato Rio,Colorado,1766.0667,obs
GRDC_3275210,-69.27,-32.85,Mendoza Rio,Colorado,7034.952,obs
GRDC_3275250,-69.25,-33.78,Tunuyan Rio,Colorado,2458.3027,obs
GRDC_3275280,-69.33,-34.67,Diamante Rio,Colorado,2790.7476,obs
GRDC_3275500,-69.95,-36.73,Barrancas Rio,Colorado,3225.14,obs
GRDC_3275800,-69.42,-38.53,Neuquen Rio,Negro,30321.055,obs
GRDC_3275950,-71.15,-41.07,Limay Rio,Negro,3976.8782,obs
GRDC_3276100,-71.17,-42.1,Chubut Rio,Chubut,1283.8439,obs
GRDC_3292100,-71.75,-41.38,Manso Rio,Puelo,857.67535,obs
GRDC_3617110,-65.3478,-10.7925,Mamore,Amazonas,614223.5,obs
GRDC_3617811,-64.4253,-12.4267,Guapore,Amazonas,342859.34,obs
GRDC_3617812,-61.05,-13.4858,Guapore,Amazonas,55945.824,obs
GRDC_3618051,-64.8289,-0.4819,Negro,Amazonas,293714.72,obs
GRDC_3618052,-66.8022,-0.2006,Negro,Amazonas,194159.39,obs
GRDC_3618053,-67.3128,0.3717,Negro,Amazonas,124376.94,obs
GRDC_3618090,-66.8525,1.2153,Negro,Amazonas,74838.234,obs
GRDC_3618110,-67.5947,1.0744,Icana,Amazonas,23605.41,obs
GRDC_3618150,-62.6219,0.8842,Demeni,Amazonas,17858.236,obs
GRDC_3618500,-61.1236,1.8214,Branco,Amazonas,126160.28,obs
GRDC_3618600,-60.52,-0.8586,Alalau,Amazonas,7174.977,obs
GRDC_3618720,-60.5711,3.2078,Uraricoera,Amazonas,49585.074,obs
GRDC_3618721,-61.0367,3.4381,Uraricoera,Amazonas,36260.402,obs
GRDC_3618722,-63.1692,3.5497,Uraricoera,Amazonas,15373.021,obs
GRDC_3618730,-61.4406,2.8708,Mucajai,Amazonas,12534.619,obs
GRDC_3618950,-69.1281,0.4769,Vaupes _ Uaupes,Amazonas,39908.85,obs
GRDC_3618951,-68.5386,0.1303,Vaupes _ Uaupes,Amazonas,44067.742,obs
GRDC_3621200,-66.6,-1.8211,Caqueta _ Japura,Amazonas,249386.02,obs
GRDC_3624200,-67.8925,-4.2211,Jutai,Amazonas,35666.9,obs
GRDC_3624201,-68.9983,-5.3831,Jutai,Amazonas,10783.426,obs
GRDC_3624250,-67.3444,-4.3256,Bia,Amazonas,10945.789,obs
GRDC_3624400,-65.2017,-4.2922,Tefe,Amazonas,13769.82,obs
GRDC_3625000,-63.0278,-4.0578,Amazon _ Amazonas,Amazonas,1783024.8,obs
GRDC_3628300,-57.8269,-1.4381,Nhamunda,Amazonas,9852.008,obs
GRDC_3628400,-59.3442,-2.1061,Uatuma,Amazonas,20083.443,obs
GRDC_3628401,-59.4833,-1.9381,Uatuma,Amazonas,18925.875,obs
GRDC_3629001,-55.5131,-1.9192,Amazon _ Amazonas,Amazonas,4691042,obs
GRDC_3632400,-70.9056,-4.3408,Javari,Amazonas,61764.223,obs
GRDC_3632401,-72.8136,-5.1389,Javari,Amazonas,16614.682,obs
GRDC_3632450,-71.4131,-4.5794,Curuca,Amazonas,24628.68,obs
GRDC_3633120,-66.8506,-4.8392,Jurua,Amazonas,164374.67,obs
GRDC_3633121,-68.2461,-6.4403,Jurua,Amazonas,144044.67,obs
GRDC_3633122,-69.8811,-6.6844,Jurua,Amazonas,77070.45,obs
GRDC_3633123,-71.6892,-7.0556,Jurua,Amazonas,55722.94,obs
GRDC_3633180,-72.7892,-8.9344,Jurua,Amazonas,16237.993,obs
GRDC_3633300,-70.0225,-7.4281,Tarauaca,Amazonas,50071.246,obs
GRDC_3633301,-70.7153,-8.1458,Tarauaca,Amazonas,15759.792,obs
GRDC_3634150,-67.8008,-9.975,Acre,Amazonas,23582.637,obs
GRDC_3634160,-67.3969,-9.0667,Acre,Amazonas,34839.39,obs
GRDC_3634200,-67.55,-7.55,Pauini,Amazonas,23468.404,obs
