Date,Station_ID,Basin_role,Area_km2,Observed_mm_day,Simulated_mm_day,Observed_m3s,Simulated_m3s
1980-01-10,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.32000005,0.6103764,5.1048155,9.737058
1980-01-11,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.35000002,0.61204165,5.5833917,9.763622
1980-01-12,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.40999997,0.58926237,6.5405436,9.400235
1980-01-13,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.5500001,0.57407516,8.773902,9.157961
1980-01-14,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.6,0.5687393,9.571528,9.07284
1980-01-15,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.63,0.5678056,10.050104,9.057945
1980-01-16,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.71,0.5540097,11.326307,8.837865
1980-01-17,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.83,0.5547426,13.240613,8.849557
1980-01-18,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.89,0.5335367,14.197765,8.511269
1980-01-19,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.89,0.53559875,14.197765,8.544164
1980-01-20,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.89,0.52678704,14.197765,8.403595
1980-01-21,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.97,0.5168061,15.47397,8.244373
1980-01-22,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.97,0.51265824,15.47397,8.178205
1980-01-23,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.97,0.5147258,15.47397,8.211187
1980-01-24,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.86,0.52028406,13.71919,8.299855
1980-01-25,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.86,0.50653887,13.71919,8.080585
1980-01-26,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.63,0.4887284,10.050104,7.7964625
1980-01-27,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.63,0.47042537,10.050104,7.5044823
1980-01-28,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.65,0.46069574,10.369155,7.34927
1980-01-29,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.65,0.4553454,10.369155,7.2639184
1980-01-30,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.65,0.48666966,10.369155,7.7636204
1980-01-31,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.8000001,0.62003875,12.762038,9.891196
1980-02-01,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.8000001,0.7921663,12.762038,12.63707
1980-02-02,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.76,0.8006092,12.123935,12.771754
1980-02-03,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.76,0.8520838,12.123935,13.592906
1980-02-04,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.73,0.8903408,11.645359,14.203203
1980-02-05,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.8524854,10.847732,13.599313
1980-02-06,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.89220786,10.847732,14.232987
1980-02-07,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.73,0.8738508,11.645359,13.9401455
1980-02-08,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.90468735,7.8167477,14.432067
1980-02-09,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,0.9314208,10.847732,14.858533
1980-02-10,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.89,1.0232065,14.197765,16.322748
1980-02-11,GRDC_6341500,Snow/lake unregulated baseline,1378.3,1.07,1.095671,17.069225,17.478743
1980-02-12,GRDC_6341500,Snow/lake unregulated baseline,1378.3,1.57,1.1872371,25.045498,18.939455
1980-02-13,GRDC_6341500,Snow/lake unregulated baseline,1378.3,1.62,1.2534851,25.843124,19.996279
1980-02-14,GRDC_6341500,Snow/lake unregulated baseline,1378.3,1.24,1.2069434,19.781157,19.25382
1980-02-15,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.76,1.1853034,12.123935,18.908607
1980-02-16,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.89,1.1875043,14.197765,18.943716
1980-02-17,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.83,1.186272,13.240613,18.924059
1980-02-18,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.76,1.145654,12.123935,18.276098
1980-02-19,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.73,1.0936227,11.645359,17.446066
1980-02-20,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.68,1.0395768,10.847732,16.583897
1980-02-21,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.63,0.9757308,10.050104,15.565391
1980-02-22,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.5500001,0.9330818,8.773902,14.885031
1980-02-23,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.53,0.8955886,8.454849,14.286918
1980-02-24,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.51,0.8677105,8.135798,13.842192
1980-02-25,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.49,0.83660567,7.8167477,13.34599
1980-02-26,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.81118846,7.338172,12.940521
1980-02-27,GRDC_6341500,Snow/lake unregulated baseline,1378.3,0.46000004,0.8039716,7.338172,12.825394
